,0
E1917DAC80D1300B11,51404
F20CE2F3D407CC032C,102746
N16AA91C965D1F0748,102747
N2B630E32F2D7DE9DE,62809
D10E00AECBAD5B2DAA,62810
K2FA7B24F779348E88,12646
T2F0F260983B4EC555,51409
A2CEDA6637F3A18D12,11595
F17DAD1B7DB725C2DE,85680
B1A561B52646F71020,62813
B1A47C1DD6E10D6FF6,40011
R281345EA57DAFD169,79773
E20C9D9ACC88A5376B,121385
F2729F18C88AF37F8E,45628
S1573391B38A0DAA09,74200
N2007E58140384CE7B,34369
E2BCD2F6F0D3C44263,51416
N20A3EC2919BA2AF0C,79935
A28F139CDD829D356B,102756
P24EF4AAAB4104E108,75270
T207C5E650094E572B,17424
H22DAFF91851A263B8,62816
F2A5AFE137D3EB7BC5,11597
C298D7A2C34E3CBBD0,5800
N1B8F5A7A5300AC97D,51418
G1D7EC4BEF1B492C56,79940
F201A3141192C34C7A,34375
N19F8F2D7806A1A5AC,6844
Q1B48761C6C7425F93,24269
U24DD5EF2EE4A9272E,111839
G10384504ED5057506,97058
R20D09B562B6A31D29,115756
D2A6508AFB33EA8F38,11600
N15E423EB64A34E0F6,102574
S1D75FA46E2DEA64FD,34381
A158DD6C5B527CB29A,79944
H2406B7F917EDB242B,62823
E2108441AD07A06CA9,62824
A183F7A5942F995B29,119682
L2D5790A9206AE6DCC,40021
F2FF65F7A34CA952AB,121386
O18275EF20B4F9F9C1,5809
T2C491C2EC447D48AE,5810
S143305D936EA5CC48,24310
Q28588782279C44393,5811
Q2C9DF45559AF123DC,17434
N28B6B6489CB27232E,111397
R1D065939037C34B29,225
F27BD75F7655262C1E,40024
G237CECD29CA483373,97067
M224FD2838589642D7,40026
T1ECEEEBD3539F0B06,91443
M1D4D412F227314552,1288
D2E41321659ACAE747,81055
K2F5B774F267CC5676,40028
F2F5C1918EFE16BBE7,11608
T2E3F88D481193CE6E,51431
G2AD6EF7A2ED1BA1E1,97909
A290C9F738EC886A1A,74217
F2E422FA45302A7A58,23255
Y1ADDE3DBDE0382FB9,23256
A24FD4212A07870142,229
M116126BA42B0E745B,56974
D233CBD430C7B03088,62836
G196D2E0D49BB0DC28,102760
N22640BD84BC8752CE,55356
J266E845B4A9EDF77B,97077
E26146FC332AF776E8,28812
Q26FD1B879F8CF18EA,91449
F17AF85ED1DCBF643E,17444
R209F842BEB0D2671F,79960
D2548819336CF847CD,34394
N2A58AD92E6BBA2EA3,28814
D153024839B0E7B912,74221
P1CBC0DC798B0B9FC4,92604
F1CC5853C9140931D1,5826
U29AB97CEEA68DEDA3,57172
N1987385B4DD1DF667,64006
A1C2BC3574635C0731,90651
F1BE9EF232B278AB5F,58401
E201A1211D1D80D956,41160
F26810E30B4423E129,22973
A2CDA6682F9AA9E6D8,237
K1A5D212F683439B5D,74224
L239072051042A99E6,51237
G26ABDEAA159F815F6,115672
S2CE24BE05D86AEF37,123274
A2F73D5BCC24F32193,45648
I206142D6823730AE6,40040
S2D929F478E4F24C5B,85494
R296FE6EA2C8F12AAD,102792
K23704BA0242057B23,5834
G2230EE9CD5C8C80C7,100996
F2593B5B3134AE6BB4,28819
L1FF61A7444581C8A6,45653
L294BA7BF8CD1AE69D,26762
L21B7C78666DBE8BB5,45654
Q15104C1A3B0DBB555,28628
F295CF028C253CA380,62851
E2AEB35EA0A24ECA4A,12876
A2BD38233856497181,40044
T19D4BA74A5665D96B,103779
S28A5B0D297DC27059,28821
F23BDA058FC7AA6C47,97086
A17CFE5E943D1C0A4F,114014
T22BEC07E448D190E4,124657
R2907FDABA61F9947F,57187
F25F4F071576E8C1E9,116036
K16F173E8EF8CB85C2,79972
P2F22383D69DF12832,121389
M14BD83ED13D1F425E,28825
S1DDC02DAA43367833,45660
O26CC2A244753D9C99,28826
Q297CF0C21F6DE5F64,23273
S2598552E5BAEAE181,97090
N28CFCDB8519E5EFDF,68335
N1BBB70B2E33057FE6,45662
Q242CFC46870F30057,40049
F111DAEB2B45F6825A,248
X20AF0B8671EA68BEA,40050
P2C0A8B95D8D02DC47,47157
A2DC2D56B0978A2F63,62858
A28AC878AACFA3E2CD,51457
T1AFB92B9445FA2130,39031
T23A9EE41B07BDC5F8,28834
L103473D8596D4613A,108283
Q16EC01C1D2E550925,23278
F1FBCCB21094C84D6C,85730
F1391B38125C104C2B,93141
Q1542824C654D3D05A,45670
H28F9EB27A26F938E6,112007
S242F82A15B04DE035,62866
R269A1871394BA5571,45671
F1406332E23B986300,119719
L2FFB1FB2579BDF04A,17470
Q186DAF13896D7BA34,87954
F152F8A6F3C0B0114B,74248
S1EC069B36DCBC40C9,34413
M147FFC95156C40CCC,57196
S108C7B3A281C470EF,23281
T24401DFCD82C15752,17475
F21F58C29B635E936D,109619
M26F10D353E25DF6ED,79985
L2B0809B5644F3A1B3,11634
E10AE907F05E9596F0,51464
T2E77882ACFF88B995,79986
R256D3C03A37C08BED,74251
Q23AC6FCCE0DC61883,11637
K2CAF21659FF91FB61,28840
J292561C06E0B54219,11638
H16BCACE49888CB5B1,5846
A1E6BEC8B3BDF70A25,5847
Q2DD0B5390070820CF,12984
L1A83FBBAE4989337C,97105
U166FF477CB790C81A,45677
B16B35DD6D649B43C7,108295
E2A5EBFFB3130DF112,39856
E157F8F5D2724CD7DD,11642
A2A845E53C6DF3E18E,5849
A29D907FBFEFC68E41,34424
R16FD8E433E7F14CB6,102818
M1FB4F7D2EB529B614,21151
D1CC199B93E0DDCE54,91289
V2CB9F0D96E1D03755,85745
E27B383292C547F63E,114031
R22D0CB6A4120E5524,106307
K10EB619EDF6676810,68574
E190E283222A495461,28844
R154A523C66C6F3E79,108303
R22091F37C41A9C92E,5856
J18489B0A7F5EC99D4,28848
F2A5E6327D69EC2AF5,262
B2D9B5EA43F0837264,5858
P1D0B2918C677107FF,34427
F264AC4FA04395D20A,74259
F1763C9C6BCC7CED02,62883
N2992B8007BA022FDC,28853
F17334351E1A2172D4,23297
P22E048189F97D5C4B,87638
P15C673B267DD9A799,40075
K1E9B1F89B0A8F368A,108311
H19E1B719D57BD713D,91488
E1CD6F7C19329AFC05,1900
T18B425F1A9AD8E0A9,40076
T2D57792EC54496786,17500
E1B26FC3A1468627A9,109454
A21E4E0DF77F86533A,45687
K2C334632620D444A6,93702
A2A04D6694657A3BF7,91490
H1BC7C76B98EF0C0BC,97119
S1E449A7D1903BAB5C,57219
C2639F261F76377AA7,51482
F20E20F5E23A9475EE,57221
S2642B3C601E6DA985,58663
H17B0697A778D5AB01,48024
E2CF4D346CDC36B31B,34435
B219E0469E3B051CEC,17503
T2D451283E6852AFDB,71479
A200DE9666E98F8EF3,28863
S1650C2174DD9C5FC2,58682
R20BA2929535EFB461,114049
E2704F7753CA119B1A,119747
L267496EDA25C03A93,13390
E12F6E345888D320E8,85765
A13F163E083D9B08D6,114888
U1E8A90056008AEDB2,80014
Q2043CF82BC8BA6293,121395
W12FBADF04F7C81288,45696
S1509D99B34D9281F4,119509
H25F033E25BE63DFCD,34440
J2B23EB9816C14DC39,97130
T2A053B778D5E66679,5868
H19259862E10880A5E,74272
C136F9B03DBD3A708E,74273
P2CD5DD9B5A111AFDD,62898
H2446081C08DAE9644,28867
E263043FB76E8EE953,57230
R20152F4DFF60EE12E,119376
K18C8025C8A5A4DBBE,75711
C1F03BBF2F63184590,5871
K218B516044A19CD3C,80020
P12498E4E697B8A27D,11665
R202B6B725E6FD781C,45702
P1F04EAB2EDB7FCF5F,51495
F243CD45AC084A9404,17513
P191E8F9B2F3E6160D,91504
P22B1BC268177F703E,91505
E244B672120061705F,285
T1A7BE355832CEE2CD,24942
F2E8AA9D0F63BCA009,68600
N27737037C628D6636,72149
L2DA59B468417CEEF2,11672
F256C3D2461B6F66B6,102843
E2E4437A4A950464E4,74282
A1AC72BAE02C6A3B90,112732
C2284C50E8D91B1E74,74283
E1B5B78C1C830C3C95,28875
F112DC4D87C92B3E66,15568
Y2A90D8852A63A87BE,112536
B1F0C61514D76FC433,51499
T262EF7112D07C99E4,17518
S28E122D6CB85D6E74,17519
P28FE3CFABD4FB1720,45710
A27497DBD0E93DDCB9,17521
R1AAFB665513E9BB60,5879
N22BE19B5084241A98,66417
S2B7D219DC318DD709,40098
D1BD71F8AF88ADAF16,101071
U226D7FA79E4AE75D6,34454
E27978092A2F331082,108329
K15036B8C62B18931A,56987
A23A76915B27453C2A,11677
T20C32292A326FA54A,80033
A14BC18E74DDC93647,113951
F2069857A263767880,74465
H29C6CC9505C4CE024,106887
A217AFEF4A72F999B8,68614
F201C3744799E0405F,119762
A241F00607C083C7BC,34455
J13DFCF320E2EE2A44,114065
E1EDCF53E1E293A267,62915
N28616685B07C2A953,80038
L29009D0DAE2B645B3,34457
P133458E31F0F14ADB,17527
H124C85B53C80A5BB9,111782
S297423207EACE1F68,23318
N1E1C32B70D2870D25,68615
A1A4E669A95A7A7237,45720
R2FFC6AC2746F25C70,17529
